name,price,availability,item_type,description,product_format,number_in_case,product_weight_numeric,product_weight_metric
Ensure Rapid Hydration Electrolyte Powder Packs,$71.94,In stock,SKU#:67475,"HYDRATION: Quickly helps relieve occasional dehydration from travel, vomiting & diarrhea, heat exposure, and inadequate fluid intake
KEY ELECTROLYTES: Ensure Rapid Hydration quickly and effectively replenishes lost electrolytes
PREBIOTICS: Ensure Rapid Hydration electrolyte powder includes prebiotics that support digestive health
DELICIOUS FLAVOR CHOICE: Fast rehydration in 2 great flavors—Berry Freeze and Strawberry Chill

Ensure Rapid Hydration electrolyte powder provides a scientifically designed balance of electrolytes to replenish fluid and electrolyte loss for fast rehydration. Available in Strawberry Chill and Berry Freeze flavors, Ensure Rapid Hydration helps relieve occasional dehydration due to travel, vomiting and diarrhea, heat exposure, and inadequate fluid intake, all in a convenient electrolyte powder.
",oz, 6-6 Packs                ,0.6,0.6
Ensure Rapid Hydration Electrolyte Powder Packs,$71.94,In stock,SKU#:67472,"HYDRATION: Quickly helps relieve occasional dehydration from travel, vomiting & diarrhea, heat exposure, and inadequate fluid intake
KEY ELECTROLYTES: Ensure Rapid Hydration quickly and effectively replenishes lost electrolytes
PREBIOTICS: Ensure Rapid Hydration electrolyte powder includes prebiotics that support digestive health
DELICIOUS FLAVOR CHOICE: Fast rehydration in 2 great flavors—Berry Freeze and Strawberry Chill

Ensure Rapid Hydration electrolyte powder provides a scientifically designed balance of electrolytes to replenish fluid and electrolyte loss for fast rehydration. Available in Strawberry Chill and Berry Freeze flavors, Ensure Rapid Hydration helps relieve occasional dehydration due to travel, vomiting and diarrhea, heat exposure, and inadequate fluid intake, all in a convenient electrolyte powder.
",oz, 6-6 Packs                ,0.6,0.6
PediaSure Grow & Gain Organic Shake,$51.96,In stock,SKU#:67214,"CLINICALLY PROVEN* TO HELP KIDS GROW: The same nutrition as PediaSure Grow & Gain shakes, and it’s certified USDA organic
CERTIFIED USDA ORGANIC: Our organic nutrition shakes are made with milk from grass-fed cows and have no artificial growth hormones†
NO ARTIFICIAL COLORS OR FLAVORS: PediaSure Organic is non-GMO‡ and has no artificial colors, flavors, or carrageenan
GREAT-TASTING FLAVORS: Available in delicious Milk Chocolate and Classic Vanilla flavors
STOCK UP & SAVE: Our shakes make a great on-the-go snack or addition to breakfast, the lunch box, or dinner

PediaSure Organic nutrition shakes are clinically proven* to help kids grow. They’re certified USDA organic and have no artificial flavors or colors, no artificial growth hormones,† and no carrageenan. Our nutrition shakes are non-GMO‡ and have 7g protein to help build muscles, 32mg DHA omega-3 for brain and eyes, vitamins C & E and selenium for immune support, and 27 essential vitamins & minerals. Available in delicious Milk Chocolate and Classic Vanilla flavors.
* Studied in children at risk for malnutrition.
† No significant difference has been shown between milk derived from rbST-treated and non-rbST-treated cows.
‡ Ingredients not genetically engineered.
Not for children with galactosemia.
",bottle, Case of 24                ,8,oz
PediaSure Grow & Gain Organic Shake,$51.96,In stock,SKU#:67217,"CLINICALLY PROVEN* TO HELP KIDS GROW: The same nutrition as PediaSure Grow & Gain shakes, and it’s certified USDA organic
CERTIFIED USDA ORGANIC: Our organic nutrition shakes are made with milk from grass-fed cows and have no artificial growth hormones†
NO ARTIFICIAL COLORS OR FLAVORS: PediaSure Organic is non-GMO‡ and has no artificial colors, flavors, or carrageenan
GREAT-TASTING FLAVORS: Available in delicious Milk Chocolate and Classic Vanilla flavors
STOCK UP & SAVE: Our shakes make a great on-the-go snack or addition to breakfast, the lunch box, or dinner

PediaSure Organic nutrition shakes are clinically proven* to help kids grow. They’re certified USDA organic and have no artificial flavors or colors, no artificial growth hormones,† and no carrageenan. Our nutrition shakes are non-GMO‡ and have 7g protein to help build muscles, 32mg DHA omega-3 for brain and eyes, vitamins C & E and selenium for immune support, and 27 essential vitamins & minerals. Available in delicious Milk Chocolate and Classic Vanilla flavors.
* Studied in children at risk for malnutrition.
† No significant difference has been shown between milk derived from rbST-treated and non-rbST-treated cows.
‡ Ingredients not genetically engineered.
Not for children with galactosemia.
",bottle, Case of 24                ,8,oz
PediaSure Grow & Gain Shake,$45.99,In stock,SKU#:58049,"CLINICALLY PROVEN* GROWTH: Helps kids catch up on growth in just 8 weeks!†
COMPLETE, BALANCED NUTRITION: 7g of protein, 32mg of DHA omega-3, antioxidants,‡ and 27 essential vitamins & minerals
MOST RECOMMENDED: #1 pediatrician recommended brand
6 GREAT-TASTING FLAVORS: Vanilla, Chocolate, Strawberry, Banana, Berry, and S’mores  
MOMS’ NUTRITION CHOICE: Gluten-free, kosher, halal, with no artificial growth hormones§; suitable for lactose intolerance||

PediaSure nutrition shakes for kids are clinically proven* to help kids grow. We’re the #1 pediatrician recommended brand. Each shake has 7g of protein to help build muscles, 32mg of DHA omega-3 for brain & eye development, antioxidants (vitamins C & E and selenium) for immune support, and 27 essential vitamins & minerals. Available in 6 great flavors: Vanilla, Chocolate, Strawberry, Banana, Berry, and S’mores. PediaSure Grow & Gain is gluten-free, kosher, halal, and suitable for lactose intolerance.|| Use as a snack or add to your favorite healthy recipes for your kids.
* Studied in children at risk for malnutrition.
† In children ages 3-4 at nutritional risk (5th-25th weight-for-height percentiles), when given 2 servings per day and dietary counseling.
‡ Vitamins C & E and selenium.
§ No significant difference has been shown between milk derived from rbST-treated and non-rbST-treated cows.
|| Not for children with galactosemia.
",bottle, Case of 24                ,8,oz
PediaSure Grow & Gain Shake,$45.99,In stock,SKU#:58058,"CLINICALLY PROVEN* GROWTH: Helps kids catch up on growth in just 8 weeks!†
COMPLETE, BALANCED NUTRITION: 7g of protein, 32mg of DHA omega-3, antioxidants,‡ and 27 essential vitamins & minerals
MOST RECOMMENDED: #1 pediatrician recommended brand
6 GREAT-TASTING FLAVORS: Vanilla, Chocolate, Strawberry, Banana, Berry, and S’mores  
MOMS’ NUTRITION CHOICE: Gluten-free, kosher, halal, with no artificial growth hormones§; suitable for lactose intolerance||

PediaSure nutrition shakes for kids are clinically proven* to help kids grow. We’re the #1 pediatrician recommended brand. Each shake has 7g of protein to help build muscles, 32mg of DHA omega-3 for brain & eye development, antioxidants (vitamins C & E and selenium) for immune support, and 27 essential vitamins & minerals. Available in 6 great flavors: Vanilla, Chocolate, Strawberry, Banana, Berry, and S’mores. PediaSure Grow & Gain is gluten-free, kosher, halal, and suitable for lactose intolerance.|| Use as a snack or add to your favorite healthy recipes for your kids.
* Studied in children at risk for malnutrition.
† In children ages 3-4 at nutritional risk (5th-25th weight-for-height percentiles), when given 2 servings per day and dietary counseling.
‡ Vitamins C & E and selenium.
§ No significant difference has been shown between milk derived from rbST-treated and non-rbST-treated cows.
|| Not for children with galactosemia.
",bottle, Case of 24                ,8,oz
PediaSure Grow & Gain Shake,$45.99,In stock,SKU#:58055,"CLINICALLY PROVEN* GROWTH: Helps kids catch up on growth in just 8 weeks!†
COMPLETE, BALANCED NUTRITION: 7g of protein, 32mg of DHA omega-3, antioxidants,‡ and 27 essential vitamins & minerals
MOST RECOMMENDED: #1 pediatrician recommended brand
6 GREAT-TASTING FLAVORS: Vanilla, Chocolate, Strawberry, Banana, Berry, and S’mores  
MOMS’ NUTRITION CHOICE: Gluten-free, kosher, halal, with no artificial growth hormones§; suitable for lactose intolerance||

PediaSure nutrition shakes for kids are clinically proven* to help kids grow. We’re the #1 pediatrician recommended brand. Each shake has 7g of protein to help build muscles, 32mg of DHA omega-3 for brain & eye development, antioxidants (vitamins C & E and selenium) for immune support, and 27 essential vitamins & minerals. Available in 6 great flavors: Vanilla, Chocolate, Strawberry, Banana, Berry, and S’mores. PediaSure Grow & Gain is gluten-free, kosher, halal, and suitable for lactose intolerance.|| Use as a snack or add to your favorite healthy recipes for your kids.
* Studied in children at risk for malnutrition.
† In children ages 3-4 at nutritional risk (5th-25th weight-for-height percentiles), when given 2 servings per day and dietary counseling.
‡ Vitamins C & E and selenium.
§ No significant difference has been shown between milk derived from rbST-treated and non-rbST-treated cows.
|| Not for children with galactosemia.
",bottle, Case of 24                ,8,oz
PediaSure Grow & Gain Shake,$45.99,In stock,SKU#:53818,"CLINICALLY PROVEN* GROWTH: Helps kids catch up on growth in just 8 weeks!†
COMPLETE, BALANCED NUTRITION: 7g of protein, 32mg of DHA omega-3, antioxidants,‡ and 27 essential vitamins & minerals
MOST RECOMMENDED: #1 pediatrician recommended brand
6 GREAT-TASTING FLAVORS: Vanilla, Chocolate, Strawberry, Banana, Berry, and S’mores  
MOMS’ NUTRITION CHOICE: Gluten-free, kosher, halal, with no artificial growth hormones§; suitable for lactose intolerance||

PediaSure nutrition shakes for kids are clinically proven* to help kids grow. We’re the #1 pediatrician recommended brand. Each shake has 7g of protein to help build muscles, 32mg of DHA omega-3 for brain & eye development, antioxidants (vitamins C & E and selenium) for immune support, and 27 essential vitamins & minerals. Available in 6 great flavors: Vanilla, Chocolate, Strawberry, Banana, Berry, and S’mores. PediaSure Grow & Gain is gluten-free, kosher, halal, and suitable for lactose intolerance.|| Use as a snack or add to your favorite healthy recipes for your kids.
* Studied in children at risk for malnutrition.
† In children ages 3-4 at nutritional risk (5th-25th weight-for-height percentiles), when given 2 servings per day and dietary counseling.
‡ Vitamins C & E and selenium.
§ No significant difference has been shown between milk derived from rbST-treated and non-rbST-treated cows.
|| Not for children with galactosemia.
",bottle, Case of 24                ,8,oz
PediaSure SideKicks Shake,$45.99,In stock,SKU#:66912,"HIGH PROTEIN WITH FEWER CALORIES: With 40% more* protein, with 25% fewer Calories, than PediaSure Grow & Gain
BALANCED NUTRITION: Helps fill the top 4 nutrient gaps—vitamin D, calcium, fiber, and potassium. Has no artificial growth hormones (No significant difference has been shown between milk derived from rbST-treated and non-rbST-treated cows)
MOST RECOMMENDED: #1 pediatrician-recommended brand
HELPS KIDS GROW: Protein and key nutrients help kids catch up on growth
KID-APPROVED FLAVORS: Chocolate, Vanilla, and Strawberry

From the #1 pediatrician-recommended brand, PediaSure SideKicks nutrition shakes for kids have 40% more* protein and 25% fewer† calories than PediaSure Grow & Gain and help fill the top 4 nutrient gaps—vitamin D, calcium, fiber, and potassium. Try PediaSure SideKicks in three kid-approved flavors: Chocolate, Vanilla, and Strawberry.
*PediaSure SideKicks – 10g protein per 8 fl oz; PediaSure Grow& Gain – 7g protein per 8 fl oz†PediaSure SideKicks – 180 Calories per 8 fl oz; PediaSure Grow & Gain – 240 Calories per 8 fl oz
Use as part of a healthy diet.
",bottle, Case of 24                ,8,oz
PediaSure Grow & Gain Shake Mix,$15.99,In stock,SKU#:66959e,"CLINICALLY PROVEN* GROWTH: Helps kids catch up on growth in just 8 weeks!†
COMPLETE, BALANCED NUTRITION: 6g of protein and 23 essential vitamins & minerals, made with non-GMO‡ ingredients
MIX WITH WATER: An easy-to-make nutrition shake for kids available in 3 great flavors
MOST RECOMMENDED: #1 pediatrician recommended brand of kids’ nutrition powder
MOMS’ NUTRITION CHOICE: Gluten-free, kosher, halal, with no artificial growth hormones§; suitable for lactose intolerance||

PediaSure Grow & Gain Non-GMO‡ Shake Mix is clinically proven* to help kids grow. We’re the #1 pediatrician recommended brand. Each serving has 6g protein to help build muscles and 23 essential vitamins & minerals. In delicious Vanilla, Chocolate, and Strawberry flavors, our shake mix is gluten-free, kosher, halal, and suitable for lactose intolerance.||

* Studied in children at risk for malnutrition.
† In children ages 3-4 at nutritional risk (5th-25th weight-for-height percentiles), when given 2 servings per day and dietary counseling.
‡ Ingredients not genetically engineered.
§ No significant difference has been shown between milk derived from rbST-treated and non-rbST-treated cows.
|| Not for children with galactosemia.
",can,,14.1,oz
